item_code,brand,Master Catalogue name,medicine_type,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,pack,manufacturer,catg,subcatg,mrp
33741,fast&up plant protein caramel coffee flavour 450gm,,others,fast&up plant protein caramel coffee flavour,fast&up plant protein caramel coffee flavour 450,0,fast&up plant protein caramel coffee,fast&up plant protein caramel,fast&up plant protein,fast&up plant,450gm,AERONUTRIX SPORTS LTD,,,1399
33746,linetor plus sachet 15gm,,others,linetor plus,linetor plus sachet 15,0,linetor,linetor,linetor,linetor,15gm,Akumentis Healthcare Ltd,,,110
33756,cosmoq shampoo 200ml,,others,cosmoq,cosmoq shampoo 200,0,cosmoq,cosmoq,cosmoq,cosmoq,200ml,KLM Laboratories Pvt Ltd,,,450
33767,boheco hemp powder 100gm,,others,boheco hemp,boheco hemp powder 100,0,boheco,boheco,boheco,boheco,100gm,BOMBAY HEMP CO.PVT LTD,,,349
33775,accusure sensor blood gluco monitor 1s,,others,accusure sensor blood gluco monitor 1s,accusure sensor blood gluco monitor 1s,0,accusure sensor blood gluco monitor,accusure sensor blood gluco,accusure sensor blood,accusure sensor,1s,MICROGENE DIOGNOSTIC SYSTEM PVT. LTD.,,,720
33781,ganeve london sea salt & mint face wash gel 200ml,,others,ganeve london sea salt & mint face wash,ganeve london sea salt & mint face wash gel 200,0,ganeve london sea salt & mint face,ganeve london sea salt & mint,ganeve london sea salt &,ganeve london sea salt,200ml,NANZ MED SCIENCE PHARMA PVT LTD,,,299
33782,ganeve london green tea & lemon face wash gel 200ml,,others,ganeve london green,ganeve london green tea & lemon face wash gel 200,0,ganeve london,ganeve,ganeve,ganeve,200ml,NANZ MED SCIENCE PHARMA PVT LTD,,,299
33783,ganeve london honey suckle & lily face wash gel 200ml,,others,ganeve london honey suckle & lily face wash,ganeve london honey suckle & lily face wash gel 200,0,ganeve london honey suckle & lily face,ganeve london honey suckle & lily,ganeve london honey suckle &,ganeve london honey suckle,200ml,NANZ MED SCIENCE PHARMA PVT LTD,,,299
33792,pee safe furr acne relife patch 30s,,others,pee safe furr acne relife patch 30s,pee safe furr acne relife patch 30s,0,pee safe furr acne relife patch,pee safe furr acne relife,pee safe furr acne,pee safe furr,30s,Jai Shree Balaji Industries Pvt Ltd,,,299
33799,pee safe panty liners aloe vera 20s,,others,pee safe panty liners aloe vera 20s,pee safe panty liners aloe vera 20s,0,pee safe panty liners aloe vera,pee safe panty liners aloe,pee safe panty liners,pee safe panty,20s,Jai Shree Balaji Industries Pvt Ltd,,,120
33804,dr trust knee protector 334 1s,,others,dr trust knee protector 334 1s,dr trust knee protector 334 1s,0,dr trust knee protector 334,dr trust knee protector,dr trust knee,dr trust,1s,DR TRUST,,,1179
33810,mamy poko pants extra absorb m 58s,,others,mamy poko pants extra absorb m 58s,mamy poko pants extra absorb m 58s,0,mamy poko pants extra absorb m,mamy poko pants extra absorb,mamy poko pants extra,mamy poko pants,58s,Unicharm India Pvt.ltd.,,,999
33811,mamy poko pants extra absorb xxl 7s,,others,mamy poko pants extra absorb xxl 7s,mamy poko pants extra absorb xxl 7s,0,mamy poko pants extra absorb xxl,mamy poko pants extra absorb,mamy poko pants extra,mamy poko pants,7s,Unicharm India Pvt.ltd.,,,199
33832,biotique morning nectar nourish & hydrate moisturizing cream 50gm,,others,biotique morning nectar nourish & hydrate moisturizing,biotique morning nectar nourish & hydrate moisturizing cream 50,0,biotique morning nectar nourish & hydrate,biotique morning nectar nourish &,biotique morning nectar nourish,biotique morning nectar,50gm,BIOVEDA TECHNOLOGIES,,,99
33834,wow skin science vitamin c face serum 20% 30ml,,others,wow skin science vitamin c face serum 20%,wow skin science vitamin c face serum 20% 30,0,wow skin science vitamin c face serum,wow skin science vitamin c face,wow skin science vitamin c,wow skin science vitamin,30ml,KAPCO INTERNATIONAL LTD,,,699
33835,wow skin science vitamin c foaming face wash 100ml,,others,wow skin science vitamin c foaming face wash,wow skin science vitamin c foaming face wash 100,0,wow skin science vitamin c foaming face,wow skin science vitamin c foaming,wow skin science vitamin c,wow skin science vitamin,100ml,KAPCO INTERNATIONAL LTD,,,399
33874,pure foods umami brew kombucha apple cinnamon 250 ml,,others,pure foods umami brew kombucha apple cinnamon,pure foods umami brew kombucha apple cinnamon 250,0,pure foods umami brew kombucha apple,pure foods umami brew kombucha,pure foods umami brew,pure foods umami,250ml,Rollins International Pvt Pvt,,,200
33875,pure foods umami brew kombucha classic 250 ml,,others,pure foods umami brew kombucha classic,pure foods umami brew kombucha classic 250,0,pure foods umami brew kombucha,pure foods umami brew,pure foods umami,pure foods,250ml,Rollins International Pvt Pvt,,,200
33876,pure foods umami brew kombucha kokum ginger 250 ml,,others,pure foods umami brew kombucha kokum ginger,pure foods umami brew kombucha kokum ginger 250,0,pure foods umami brew kombucha kokum,pure foods umami brew kombucha,pure foods umami brew,pure foods umami,250ml',Rollins International Pvt Pvt,,,200
33903,setu pre workout mixed berry stick 15s,,others,setu pre workout mixed berry stick 15s,setu pre workout mixed berry stick 15s,0,setu pre workout mixed berry stick,setu pre workout mixed berry,setu pre workout mixed,setu pre workout,15s,SETU NUTRATION PVT LTD,,,1200
33904,setu rehydrate coconut flavour stick 30s,,others,setu rehydrate coconut flavour stick 30s,setu rehydrate coconut flavour stick 30s,0,setu rehydrate coconut flavour stick,setu rehydrate coconut flavour,setu rehydrate coconut,setu rehydrate,30s,SETU NUTRATION PVT LTD,,,800
33905,setu skin youthful marine col lemon flavour stick 30s,,others,setu skin youthful marine col lemon flavour stick 30s,setu skin youthful marine col lemon flavour stick 30s,0,setu skin youthful marine col lemon flavour stick,setu skin youthful marine col lemon flavour,setu skin youthful marine col lemon,setu skin youthful marine col,30s,SETU NUTRATION PVT LTD,,,2000
33906,setu sleep restore strips mint flavour 30s,,others,setu sleep restore strips mint flavour 30s,setu sleep restore strips mint flavour 30s,0,setu sleep restore strips mint flavour,setu sleep restore strips mint,setu sleep restore strips,setu sleep restore,30s,SETU NUTRATION PVT LTD,,,600
33907,setu tummy apple cider vinger gummies 30s,,others,setu tummy apple cider vinger gummies 30s,setu tummy apple cider vinger gummies 30s,0,setu tummy apple cider vinger gummies,setu tummy apple cider vinger,setu tummy apple cider,setu tummy apple,30s,SETU NUTRATION PVT LTD,,,800
33928,pampers pants all round protection xl 20s,,others,pampers pants all round protection 20s,pampers pants all round protection 20s,0,pampers pants all round protection,pampers pants all round,pampers pants all,pampers pants,20s,Procter & Gamble Hygiene and Health Care Ltd,,,399
33930,mamy poko pants extra absorb xxxl 20s,,others,mamy poko pants extra absorb xxxl 20s,mamy poko pants extra absorb xxxl 20s,0,mamy poko pants extra absorb xxxl,mamy poko pants extra absorb,mamy poko pants extra,mamy poko pants,20s,Unicharm India Pvt.ltd.,,,999
33941,eyenora serum 15ml,,others,eyenora serum,eyenora serum 15,0,eyenora,eyenora,eyenora,eyenora,15ml,MECONUS HEALTHCARE PRIVATE LIMITED,,,1499
33958,anadense hair serum 60ml,,others,anadense hair serum,anadense hair serum 60,0,anadense hair,anadense,anadense,anadense,60ml,Indolands Pharma Pvt Ltd,,,60ml
33985,phab energy bar chocolate almond 35gm,,others,phab energy,phab energy soap chocolate almond 35,0,phab,phab,phab,phab,35gm,SUN HYGINNE FOODS PVT LTD,,,50
33986,phab energy bar cranberry almond 35gm,,others,phab energy,phab energy soap cranberry almond 35,0,phab,phab,phab,phab,35gm,SUN HYGINNE FOODS PVT LTD,,,45
33987,phab protein chocolate brownie bar 35gm,,others,phab protein chocolate brownie,phab protein chocolate brownie soap 35,0,phab protein chocolate,phab protein,phab,phab,35gm,SUN HYGINNE FOODS PVT LTD,,,65
33988,phab protein mocha nut fudge bar 35gm,,others,phab protein mocha nut fudge,phab protein mocha nut fudge soap 35,0,phab protein mocha nut,phab protein mocha,phab protein,phab,35gm,SUN HYGINNE FOODS PVT LTD,,,65
33991,phab superfood bomb ragi & cashew 20gm,,others,phab superfood bomb ragi & cashew,phab superfood bomb ragi & cashew 20,0,phab superfood bomb ragi &,phab superfood bomb ragi,phab superfood bomb,phab superfood,20gm,SUN HYGINNE FOODS PVT LTD,,,20
33992,phab superfood bomb quinoa & almond 20gm,,others,phab superfood bomb quinoa & almond,phab superfood bomb quinoa & almond 20,0,phab superfood bomb quinoa &,phab superfood bomb quinoa,phab superfood bomb,phab superfood,20gm,SUN HYGINNE FOODS PVT LTD,,,20
33993,phab superfood bomb jower & cranberry 20gm,,others,phab superfood bomb jower & cranberry,phab superfood bomb jower & cranberry 20,0,phab superfood bomb jower &,phab superfood bomb jower,phab superfood bomb,phab superfood,20gm,SUN HYGINNE FOODS PVT LTD,,,20
