item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,pack,manufacturer,catg,subcatg,mrp,medicine_type_flag,count_cap,count_tab,count,mod_cosine
33940,gutgermina suspension 5ml,,others,gutgermina,gutgermina suspension 5,0,gutgermina,gutgermina,gutgermina,gutgermina,370234.0,gutgermina oral suspension 5ml,others,gutgermina,gutgermina suspension 5,gutgermina oral suspension 5ml ,0.8660254037844387,0.8660254037844387,0,gutgermina suspension 5ml ,0.0,ml ,ml ,5ml,Apex Laboratories Pvt Ltd,,,36.3,0,,,1,1.0000000000000002
33956,syscozole cream 30gm,,others,syscozole,syscozole cream 30,0,syscozole,syscozole,syscozole,syscozole,320699.0,syscozole 1% cream 30gm,others,syscozole,syscozole 1% cream 30,syscozole 1% cream 30gm ,0.8660254037844387,0.8660254037844387,0,syscozole cream 30gm ,0.0,gm ,gm ,30gm,SYSCUTIS HEALTHCARE,,,335,0,,,1,0.8660254037844387
33961,skidel bar 75gm,,others,skidel,skidel soap 75,0,skidel,skidel,skidel,skidel,374570.0,skidel sulphate free parabiotic cleansing bar 75gm,others,skidel,skidel sulphate free parabiotic cleansing soap 75,skidel sulphate free parabiotic cleansing soap 75gm ,0.6546536707079772,0.6546536707079772,0,skidel soap 75gm ,0.0,gm ,gm ,75gm,INZPERA HEALTHSCIENCES LIMITED,,,175,0,,,1,0.6546536707079772
33998,colimex drop 15ml,,others,colimex,colimex drops 15,0,colimex,colimex,colimex,colimex,362183.0,colimex df plus oral drops 15ml,others,colimex,colimex df plus oral drops 15,colimex df plus oral drops 15ml ,0.7071067811865476,0.7071067811865476,0,colimex drops 15ml ,0.0,ml ,ml ,15ml,Wallace Pharmaceuticals Pvt Ltd,,,81,0,,,1,0.7071067811865476
34003,cuticolor cream dark brown 60mg,,others,cuticolor,cuticolor cream dark brown 60,0,cuticolor,cuticolor,cuticolor,cuticolor,362226.0,cuticolor hair coloring cream 60gm dark brown,others,cuticolor,cuticolor hair coloring cream 60 dark brown,cuticolor hair coloring cream 60gm dark brown ,0.8451542547285165,0.8451542547285165,0,cuticolor cream dark brown 60mg ,1.0,mg ,gm ,60mg,Zydus Cadila,,,1710.5,0,,,1,0.8451542547285165
34012,mircera injection 75mcg 1s,,injection,mircera,mircera injection 75 1s,0,mircera,mircera,mircera,mircera,242122.0,mircera 75mcg injection 1ml,injection,mircera,mircera 75 injection 1,mircera 75mcg injection 1ml ,0.75,0.75,0,mircera injection 75mcg 1s ,1.0,mcg ,ml ,1s,Roche,,,8100,0,,,1,0.75
34016,bupatch 10mg 1s,,others,bupatch,bupatch 10 1s,0,bupatch,bupatch,bupatch,bupatch,378411.0,bupatch 10mcg patch,others,bupatch,bupatch 10 patch,bupatch 10mcg patch ,0.6666666666666667,0.6666666666666667,0,bupatch 10mg 1s ,1.0,mg ,mcg ,1s,Aureate Healthcare Pvt Ltd,,,1089,0,,,1,0.6666666666666667
34020,extralube gel eye drop 10gm,,others,extralube,extralube gel eye drops 10,0,extralube,extralube,extralube,extralube,191110.0,extralube eye drop 10ml,others,extralube,extralube eye drops 10,extralube eye drops 10ml ,0.8944271909999159,0.8944271909999159,0,extralube gel eye drops 10gm ,1.0,gm ,ml ,10gm,Micro Labs Ltd,,,260,0,,,1,0.8944271909999159
33330,movicol paediatric powder 6x6.85gm,,others,movicol paediatric,movicol paediatric powder 6x6.85,0,movicol,movicol,movicol,movicol,381379.0,movicol paediatric powder sachets 6.85gm 6s,others,movicol,movicol paediatric powder sachets 6.85 6s,movicol paediatric powder sachets 6.85gm 6s ,0.6761234037828131,0.6761234037828131,0,movicol paediatric powder 6x6.85gm ,0.0,gm ,gm ,6*85gm,Win Medicare,,,171,0,,,1,0.6761234037828131
33396,lactivig fiber powder orange 90gm,,others,lactivig fiber,lactivig fiber powder orange 90,0,lactivig,lactivig,lactivig,lactivig,379067.0,lactivig fiber orange powder 90gm,others,lactivig,lactivig fiber orange powder 90,lactivig fiber orange powder 90gm ,0.9999999999999998,0.9999999999999998,0,lactivig fiber powder orange 90gm ,0.0,gm ,gm ,90gm,,,,185,0,,,1,0.9999999999999998
