item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_cap,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,category_c1,sku_brand,new_brand,medicine_type_y,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
CIP0450,cipmox 500mg cap 10's,,capsule,cipmox,cipmox 500 10s,1.0,cipmox,cipmox,cipmox,362052.0,cipmox 500 capsule 15s,RX,cipmox,cipmox 500 15s,capsule,cipmox 500 capsule 15s,0.6666666666666667,0.6666666666666667,10,15,1.0,0.0,cipmox 500mg capsule 10s,2.0,mg,,2.0,500,,10,CIPLA LTD,,,5.99,2,0.6666666666666667
COQ0014,coq 10mg cap 10's,,capsule,coq,coq 10 10s,1.0,coq,coq,coq,157897.0,coq 30mg capsule 10s,ALLOPATHY NON-MEDICINE,coq,coq 30 10s,capsule,coq 30mg capsule 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,0.0,coq 10mg capsule 10s,0.0,mg,mg,1.0,10,30,10,SANOFI AVENTIS INDIA LTD,,,25.86,3,0.6666666666666667
COQ0014,coq 10mg cap 10's,,capsule,coq,coq 10 10s,1.0,coq,coq,coq,157900.0,coq forte capsule 10s,ALLOPATHY NON-MEDICINE,coq,coq forte 10s,capsule,coq forte capsule 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,0.0,coq 10mg capsule 10s,2.0,mg,,2.0,10,,10,SANOFI AVENTIS INDIA LTD,,,25.86,3,0.6666666666666667
COQ0014,coq 10mg cap 10's,,capsule,coq,coq 10 10s,1.0,coq,coq,coq,673006.0,coq-cd capsule 10s,Allopathy_RX_A,coq,coq cd 10s,capsule,coq cd capsule 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,0.0,coq 10mg capsule 10s,2.0,mg,,2.0,10,,10,SANOFI AVENTIS INDIA LTD,,,25.86,3,0.6666666666666667
D310002,d3 120 cap 10's,,capsule,d3,d3 120 10s,1.0,d3,d3,d3,161074.0,d3 60000iu capsule 10s,ALLOPATHY NON-MEDICINE,d3,d3 60000iu 10s,capsule,d3 60000iu capsule 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,0.0,d3 120 capsule 10s,2.0,,iu,2.0,,,10,SHREYA LIFESCIENCES PVT LTD,,,25.0,3,0.6666666666666667
D310002,d3 120 cap 10's,,capsule,d3,d3 120 10s,1.0,d3,d3,d3,161077.0,d3 care capsule 10s,ALLOPATHY NON-MEDICINE,d3,d3 care 10s,capsule,d3 care capsule 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,0.0,d3 120 capsule 10s,2.0,,,2.0,,,10,SHREYA LIFESCIENCES PVT LTD,,,25.0,3,0.6666666666666667
D310002,d3 120 cap 10's,,capsule,d3,d3 120 10s,1.0,d3,d3,d3,161101.0,d3 myo capsule 10s,ALLOPATHY NON-MEDICINE,d3,d3 myo 10s,capsule,d3 myo capsule 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,0.0,d3 120 capsule 10s,2.0,,,2.0,,,10,SHREYA LIFESCIENCES PVT LTD,,,25.0,3,0.6666666666666667
DAI0037,daily 2 cap 10's,,capsule,daily,daily 2 10s,1.0,daily,daily,daily,386164.0,daily d3 capsule 10s,,daily,daily d3 10s,capsule,daily d3 capsule 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,0.0,daily 2 capsule 10s,2.0,,,2.0,,,10,HEATH KARE PHARMA,,,6.8,3,0.6666666666666667
DAI0037,daily 2 cap 10's,,capsule,daily,daily 2 10s,1.0,daily,daily,daily,386386.0,daily d3 capsule 10s,,daily,daily d3 10s,capsule,daily d3 capsule 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,0.0,daily 2 capsule 10s,2.0,,,2.0,,,10,HEATH KARE PHARMA,,,6.8,3,0.6666666666666667
DAI0037,daily 2 cap 10's,,capsule,daily,daily 2 10s,1.0,daily,daily,daily,532379.0,daily-asp capsule 10s,Allopathy_RX_A,daily,daily asp 10s,capsule,daily asp capsule 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,0.0,daily 2 capsule 10s,2.0,,,2.0,,,10,HEATH KARE PHARMA,,,6.8,3,0.6666666666666667
DIA0007,diabetone caps,,capsule,diabetone,diabetone capsule,1.0,diabetone,diabetone,diabetone,165540.0,diabetone a capsule 15s,ALLOPATHY NON-MEDICINE,diabetone,diabetone a 15s,capsule,diabetone a capsule 15s,0.40824829046386296,0.40824829046386296,cap,15,1.0,0.0,diabetone capsule,2.0,,,2.0,,,15,MEYER ORGANICS PVT LTD,,,9.3,3,0.40824829046386296
DIA0007,diabetone caps,,capsule,diabetone,diabetone capsule,1.0,diabetone,diabetone,diabetone,165541.0,diabetone pn capsule 15s,ALLOPATHY NON-MEDICINE,diabetone,diabetone pn 15s,capsule,diabetone pn capsule 15s,0.40824829046386296,0.40824829046386296,cap,15,1.0,0.0,diabetone capsule,2.0,,,2.0,,,15,MEYER ORGANICS PVT LTD,,,9.3,3,0.40824829046386296
DIA0007,diabetone caps,,capsule,diabetone,diabetone capsule,1.0,diabetone,diabetone,diabetone,384047.0,diabetone a capsule 15s,,diabetone,diabetone a 15s,capsule,diabetone a capsule 15s,0.40824829046386296,0.40824829046386296,cap,15,1.0,0.0,diabetone capsule,2.0,,,2.0,,,15,MEYER ORGANICS PVT LTD,,,9.3,3,0.40824829046386296
ENE0027,energic 31 cap,,capsule,energic,energic 31 capsule,1.0,energic,energic,energic,186691.0,energic 31 capsule 80s,AYURVEDIC,energic,energic 31 80s,capsule,energic 31 capsule 80s,0.6666666666666667,0.6666666666666667,cap,80,1.0,0.0,energic 31 capsule,2.0,,,2.0,,,1,ADONIS LABORATORIES PVT LTD,,,7.0,4,0.6666666666666667
ENE0027,energic 31 cap,,capsule,energic,energic 31 capsule,1.0,energic,energic,energic,381651.0,energic 31 capsule 10s,,energic,energic 31 10s,capsule,energic 31 capsule 10s,0.6666666666666667,0.6666666666666667,cap,10,1.0,0.0,energic 31 capsule,2.0,,,2.0,,,1,ADONIS LABORATORIES PVT LTD,,,7.0,4,0.6666666666666667
ENE0027,energic 31 cap,,capsule,energic,energic 31 capsule,1.0,energic,energic,energic,417486.0,energic-31 capsule 10s,Allopathy_RX_A,energic,energic 31 10s,capsule,energic 31 capsule 10s,0.6666666666666667,0.6666666666666667,cap,10,1.0,0.0,energic 31 capsule,2.0,,,2.0,,,1,ADONIS LABORATORIES PVT LTD,,,7.0,4,0.6666666666666667
ENE0027,energic 31 cap,,capsule,energic,energic 31 capsule,1.0,energic,energic,energic,417487.0,energic-31 capsule 40s,Allopathy_RX_A,energic,energic 31 40s,capsule,energic 31 capsule 40s,0.6666666666666667,0.6666666666666667,cap,40,1.0,0.0,energic 31 capsule,2.0,,,2.0,,,1,ADONIS LABORATORIES PVT LTD,,,7.0,4,0.6666666666666667
FIT0118,fiteobese cap 10's ( wyu),,capsule,fiteobese,fiteobese 10s wyu,1.0,fiteobese,fiteobese,fiteobese,194624.0,fiteobese capsule 15s,AYURVEDIC,fiteobese,fiteobese 15s,capsule,fiteobese capsule 15s,0.40824829046386296,0.40824829046386296,10,15,1.0,0.0,fiteobese capsule 10s wyu,2.0,,,2.0,,,10,WYU PHARMA,,,15.0,2,0.40824829046386296
FIT0118,fiteobese cap 10's ( wyu),,capsule,fiteobese,fiteobese 10s wyu,1.0,fiteobese,fiteobese,fiteobese,524426.0,fiteobese capsule 30s,Allopathy_RX_A,fiteobese,fiteobese 30s,capsule,fiteobese capsule 30s,0.40824829046386296,0.40824829046386296,10,30,1.0,0.0,fiteobese capsule 10s wyu,2.0,,,2.0,,,10,WYU PHARMA,,,15.0,2,0.40824829046386296
GAR0186,garlic cap 200's,,capsule,garlic,garlic 200s,1.0,garlic,garlic,garlic,199723.0,garlic pearls capsule 100s,AYURVEDIC,garlic,garlic pearls 100s,capsule,garlic pearls capsule 100s,0.40824829046386296,0.40824829046386296,200,100,1.0,0.0,garlic capsule 200s,2.0,,,2.0,,,1,RANBAXY PHARMA LTD,,,0.65,3,0.40824829046386296
