item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,pack,manufacturer,catg,subcatg,mrp,medicine_type_flag,count_cap,count_tab,count,mod_cosine
1275,stolin r foaming gel 120gm,,others,stolin r foaming,stolin r foaming gel 120,0,stolin r,stolin,stolin,stolin,383454.0,stolin r gel 75gm,others,stolin,stolin r gel 75,stolin r gel 75gm ,0.6708203932499369,0.6708203932499369,0,stolin r foaming gel 120gm ,0.0,gm ,gm ,120gm,DR. REDDY LABORATORIES LTD,,,204.0,0,,,3,0.6708203932499369
12847,listerine f. brust 80ml,,others,listerine f. brust,listerine f. brust 80,0,listerine f.,listerine,listerine,listerine,228811.0,listerine freshburst mouth wash 80ml,others,listerine,listerine freshburst mouth wash 80,listerine freshburst mouth wash 80ml ,0.4472135954999579,0.4472135954999579,0,listerine f. brust 80ml ,0.0,ml ,ml ,80ml,JOHNSON & JOHNSON CONSUMER CAR,,,55.0,0,,,4,0.4472135954999579
12847,listerine f. brust 80ml,,others,listerine f. brust,listerine f. brust 80,0,listerine f.,listerine,listerine,listerine,228816.0,listerine original mouth wash 80ml,others,listerine,listerine original mouth wash 80,listerine original mouth wash 80ml ,0.4472135954999579,0.4472135954999579,0,listerine f. brust 80ml ,0.0,ml ,ml ,80ml,JOHNSON & JOHNSON CONSUMER CAR,,,55.0,0,,,4,0.4472135954999579
12847,listerine f. brust 80ml,,others,listerine f. brust,listerine f. brust 80,0,listerine f.,listerine,listerine,listerine,228805.0,listerine cavity fighter mouth wash 80ml,others,listerine,listerine cavity fighter mouth wash 80,listerine cavity fighter mouth wash 80ml ,0.4082482904638631,0.4472135954999579,0,listerine f. brust 80ml ,0.0,ml ,ml ,80ml,JOHNSON & JOHNSON CONSUMER CAR,,,55.0,0,,,4,0.4082482904638631
12847,listerine f. brust 80ml,,others,listerine f. brust,listerine f. brust 80,0,listerine f.,listerine,listerine,listerine,228812.0,listerine mouth wash 80ml cool mint,others,listerine,listerine mouth wash 80 cool mint,listerine mouth wash 80ml cool mint ,0.4082482904638631,0.4472135954999579,0,listerine f. brust 80ml ,0.0,ml ,ml ,80ml,JOHNSON & JOHNSON CONSUMER CAR,,,55.0,0,,,4,0.4082482904638631
12848,listerine f. brust 250ml,,others,listerine f. brust,listerine f. brust 250,0,listerine f.,listerine,listerine,listerine,228815.0,listerine original mouth wash 250ml,others,listerine,listerine original mouth wash 250,listerine original mouth wash 250ml ,0.4472135954999579,0.4472135954999579,0,listerine f. brust 250ml ,0.0,ml ,ml ,250ml,JOHNSON & JOHNSON CONSUMER CAR,,,150.0,0,,,5,0.4472135954999579
12848,listerine f. brust 250ml,,others,listerine f. brust,listerine f. brust 250,0,listerine f.,listerine,listerine,listerine,366091.0,listerine freshburst mouth wash 250ml,others,listerine,listerine freshburst mouth wash 250,listerine freshburst mouth wash 250ml ,0.4472135954999579,0.4472135954999579,0,listerine f. brust 250ml ,0.0,ml ,ml ,250ml,JOHNSON & JOHNSON CONSUMER CAR,,,150.0,0,,,5,0.4472135954999579
12848,listerine f. brust 250ml,,others,listerine f. brust,listerine f. brust 250,0,listerine f.,listerine,listerine,listerine,228807.0,listerine cavity fighter mouth wash 250ml,others,listerine,listerine cavity fighter mouth wash 250,listerine cavity fighter mouth wash 250ml ,0.4082482904638631,0.4472135954999579,0,listerine f. brust 250ml ,0.0,ml ,ml ,250ml,JOHNSON & JOHNSON CONSUMER CAR,,,150.0,0,,,5,0.4082482904638631
12848,listerine f. brust 250ml,,others,listerine f. brust,listerine f. brust 250,0,listerine f.,listerine,listerine,listerine,228808.0,listerine cool citrus mouth wash 250ml,others,listerine,listerine cool citrus mouth wash 250,listerine cool citrus mouth wash 250ml ,0.4082482904638631,0.4472135954999579,0,listerine f. brust 250ml ,0.0,ml ,ml ,250ml,JOHNSON & JOHNSON CONSUMER CAR,,,150.0,0,,,5,0.4082482904638631
12848,listerine f. brust 250ml,,others,listerine f. brust,listerine f. brust 250,0,listerine f.,listerine,listerine,listerine,228813.0,listerine mouth wash 250ml cool mint,others,listerine,listerine mouth wash 250 cool mint,listerine mouth wash 250ml cool mint ,0.4082482904638631,0.4472135954999579,0,listerine f. brust 250ml ,0.0,ml ,ml ,250ml,JOHNSON & JOHNSON CONSUMER CAR,,,150.0,0,,,5,0.4082482904638631
